rule_id,source_row_number,analyte_canonical,specimen,fasting_required,sex,age_scope,unit_machine,unit_display_vn,unit_raw,unit_canonical,value_type,range_lower,range_upper,upper_operator,reference_type,source_priority_tier,source_url,confidence
RRV2-0003,3,RBC,Whole blood EDTA,NO,M,18–60,×10^12/L,T/L,×10^12/L,10^12/L,absolute,4.45,6.19,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0016,16,RDW-CV,Whole blood EDTA,NO,F,18–60,%,%CV,%,%,dispersion,13.1,15.62,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0015,15,RDW-CV,Whole blood EDTA,NO,M,18–60,%,%CV,%,%,dispersion,13.2,15.1,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0033,33,Sodium,Serum/plasma,NO,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,133,146,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/sodium-na/,HIGH
RRV2-0041,41,Total bilirubin,Serum/plasma,NO,A,Adult,µmol/L,µmol/L,µmol/L,umol/L,concentration,,21,<,ONE_SIDED_LIMIT,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/bilirubin-total-sbr/,HIGH
RRV2-0052,52,Total cholesterol,Serum/plasma,CONDITIONAL,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,,5.18,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0053,53,Total cholesterol,Serum/plasma,CONDITIONAL,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,5.18,6.19,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0054,54,Total cholesterol,Serum/plasma,CONDITIONAL,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,6.19,,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0039,39,Total protein,Serum/plasma,NO,A,Adult,g/L,g/L,g/L,g/L,concentration,60,80,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/protein-total/,HIGH
RRV2-0055,55,Triglyceride,Serum/plasma,YES preferred,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,,1.7,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0056,56,Triglyceride,Serum/plasma,YES preferred,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,1.7,2.26,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0057,57,Triglyceride,Serum/plasma,YES preferred,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,2.26,5.65,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0058,58,Triglyceride,Serum/plasma,YES preferred,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,5.65,,,BAND,T2,https://renal.testcatalog.org/show/LPSC1,HIGH
RRV2-0036,36,Urea,Serum/plasma,NO,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,2.5,7.8,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/urea/,HIGH
RRV2-0002,2,WBC,Whole blood EDTA,NO,A,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,4.72,11.3,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
